Ensembl_ID,KEGG_ID,Modified Pathway IDs
ENSMUSG00000042406,mmu:11911,mmu05203
ENSMUSG00000042406,mmu:11911,mmu05207
ENSMUSG00000042406,mmu:11911,mmu05215
ENSMUSG00000042406,mmu:11911,mmu05417
ENSMUSG00000026812,mmu:64930,mmu04072
ENSMUSG00000026812,mmu:64930,mmu04140
ENSMUSG00000026812,mmu:64930,mmu04150
ENSMUSG00000026812,mmu:64930,mmu04151
ENSMUSG00000026812,mmu:64930,mmu04152
ENSMUSG00000026812,mmu:64930,mmu04211
ENSMUSG00000026812,mmu:64930,mmu04218
ENSMUSG00000026812,mmu:64930,mmu04714
ENSMUSG00000026812,mmu:64930,mmu04910
ENSMUSG00000026812,mmu:64930,mmu05163
ENSMUSG00000026812,mmu:64930,mmu05165
ENSMUSG00000026812,mmu:64930,mmu05168
ENSMUSG00000026812,mmu:64930,mmu05231
ENSMUSG00000079495,mmu:100504710,mmu00480
ENSMUSG00000079495,mmu:100504710,mmu01100
ENSMUSG00000035455,mmu:60530,
ENSMUSG00000049287,mmu:216792,
ENSMUSG00000003546,mmu:74764,mmu04814
ENSMUSG00000003546,mmu:74764,mmu05010
ENSMUSG00000003546,mmu:74764,mmu05012
ENSMUSG00000003546,mmu:74764,mmu05014
ENSMUSG00000003546,mmu:74764,mmu05016
ENSMUSG00000003546,mmu:74764,mmu05020
ENSMUSG00000003546,mmu:74764,mmu05022
ENSMUSG00000003546,mmu:74764,mmu05132
ENSMUSG00000027887,mmu:17306,
ENSMUSG00000038526,mmu:23831,mmu00910
ENSMUSG00000038526,mmu:23831,mmu01100
ENSMUSG00000048997,mmu:72522,
ENSMUSG00000023259,mmu:171429,mmu04978
ENSMUSG00000023259,mmu:171429,mmu05208
ENSMUSG00000064254,mmu:66071,mmu00920
ENSMUSG00000064254,mmu:66071,mmu01100
ENSMUSG00000020038,mmu:12952,mmu04710
ENSMUSG00000066366,mmu:20700,mmu04610
ENSMUSG00000024177,mmu:56520,mmu00230
ENSMUSG00000024177,mmu:56520,mmu00240
ENSMUSG00000024177,mmu:56520,mmu00983
ENSMUSG00000024177,mmu:56520,mmu01100
ENSMUSG00000024177,mmu:56520,mmu01232
ENSMUSG00000024177,mmu:56520,mmu01240
ENSMUSG00000024097,mmu:225027,mmu03040
ENSMUSG00000024097,mmu:225027,mmu05014
ENSMUSG00000024097,mmu:225027,mmu05168
ENSMUSG00000062510,mmu:381318,
ENSMUSG00000032469,mmu:83703,
ENSMUSG00000039910,mmu:17684,mmu04137
ENSMUSG00000035042,mmu:20304,mmu04060
ENSMUSG00000035042,mmu:20304,mmu04061
ENSMUSG00000035042,mmu:20304,mmu04062
ENSMUSG00000035042,mmu:20304,mmu04620
ENSMUSG00000035042,mmu:20304,mmu04621
ENSMUSG00000035042,mmu:20304,mmu04623
ENSMUSG00000035042,mmu:20304,mmu04668
ENSMUSG00000035042,mmu:20304,mmu05020
ENSMUSG00000035042,mmu:20304,mmu05142
ENSMUSG00000035042,mmu:20304,mmu05163
ENSMUSG00000035042,mmu:20304,mmu05164
ENSMUSG00000035042,mmu:20304,mmu05168
ENSMUSG00000035042,mmu:20304,mmu05323
ENSMUSG00000035042,mmu:20304,mmu05417
ENSMUSG00000023938,mmu:224805,mmu00970
ENSMUSG00000074796,mmu:269356,
ENSMUSG00000031431,mmu:14605,
ENSMUSG00000054717,mmu:97165,
ENSMUSG00000028068,mmu:404710,mmu04810
ENSMUSG00000039633,mmu:244421,
ENSMUSG00000018574,mmu:11370,mmu00071
ENSMUSG00000018574,mmu:11370,mmu01100
ENSMUSG00000018574,mmu:11370,mmu01212
ENSMUSG00000018574,mmu:11370,mmu04936
ENSMUSG00000029059,mmu:66469,mmu00590
ENSMUSG00000029059,mmu:66469,mmu01100
ENSMUSG00000049744,mmu:76117,
ENSMUSG00000046879,mmu:15944,mmu04621
ENSMUSG00000046879,mmu:15944,mmu05145
ENSMUSG00000020326,mmu:12450,mmu04115
ENSMUSG00000020326,mmu:12450,mmu05206
ENSMUSG00000024590,mmu:16906,mmu04210
ENSMUSG00000024590,mmu:16906,mmu04820
ENSMUSG00000015488,mmu:381356,
ENSMUSG00000028337,mmu:107684,
ENSMUSG00000020044,mmu:21859,mmu05205
ENSMUSG00000020044,mmu:21859,mmu05206
ENSMUSG00000049670,mmu:226123,
ENSMUSG00000050107,mmu:14841,
ENSMUSG00000032463,mmu:23873,
ENSMUSG00000009772,mmu:74137,
ENSMUSG00000037725,mmu:80986,
ENSMUSG00000041609,mmu:75665,mmu04814
ENSMUSG00000024769,mmu:240505,
ENSMUSG00000039196,mmu:18405,
ENSMUSG00000032523,mmu:74770,mmu04340
ENSMUSG00000032554,mmu:22041,mmu04066
ENSMUSG00000032554,mmu:22041,mmu04216
ENSMUSG00000032554,mmu:22041,mmu04350
ENSMUSG00000032554,mmu:22041,mmu04978
ENSMUSG00000022570,mmu:22122,mmu00051
ENSMUSG00000022570,mmu:22122,mmu00520
ENSMUSG00000022570,mmu:22122,mmu01100
ENSMUSG00000022570,mmu:22122,mmu01250
ENSMUSG00000041406,mmu:381306,
ENSMUSG00000045672,mmu:373864,mmu04820
ENSMUSG00000045672,mmu:373864,mmu04974
ENSMUSG00000026475,mmu:19734,
ENSMUSG00000070371,mmu:77613,
ENSMUSG00000038641,mmu:208665,mmu00120
ENSMUSG00000038641,mmu:208665,mmu00140
ENSMUSG00000038641,mmu:208665,mmu01100
ENSMUSG00000040511,mmu:52118,mmu04514
ENSMUSG00000024990,mmu:19662,
ENSMUSG00000060098,mmu:214572,
ENSMUSG00000020564,mmu:380753,
ENSMUSG00000036768,mmu:209737,mmu04814
ENSMUSG00000014776,mmu:78688,
ENSMUSG00000000567,mmu:20682,mmu04024
ENSMUSG00000029446,mmu:100678,mmu00260
ENSMUSG00000029446,mmu:100678,mmu01100
ENSMUSG00000029446,mmu:100678,mmu01200
ENSMUSG00000029446,mmu:100678,mmu01230
ENSMUSG00000022304,mmu:64705,mmu00240
ENSMUSG00000022304,mmu:64705,mmu00410
ENSMUSG00000022304,mmu:64705,mmu00770
ENSMUSG00000022304,mmu:64705,mmu00983
ENSMUSG00000022304,mmu:64705,mmu01100
ENSMUSG00000039183,mmu:26426,
ENSMUSG00000032171,mmu:23988,mmu03250
ENSMUSG00000032171,mmu:23988,mmu04622
ENSMUSG00000022978,mmu:66578,
ENSMUSG00000027496,mmu:20878,mmu04114
ENSMUSG00000027496,mmu:20878,mmu04914
ENSMUSG00000037857,mmu:68564,
ENSMUSG00000024164,mmu:12266,mmu04080
ENSMUSG00000024164,mmu:12266,mmu04145
ENSMUSG00000024164,mmu:12266,mmu04610
ENSMUSG00000024164,mmu:12266,mmu04613
ENSMUSG00000024164,mmu:12266,mmu04936
ENSMUSG00000024164,mmu:12266,mmu05133
ENSMUSG00000024164,mmu:12266,mmu05134
ENSMUSG00000024164,mmu:12266,mmu05140
ENSMUSG00000024164,mmu:12266,mmu05142
ENSMUSG00000024164,mmu:12266,mmu05150
ENSMUSG00000024164,mmu:12266,mmu05152
ENSMUSG00000024164,mmu:12266,mmu05167
ENSMUSG00000024164,mmu:12266,mmu05168
ENSMUSG00000024164,mmu:12266,mmu05171
ENSMUSG00000024164,mmu:12266,mmu05203
ENSMUSG00000024164,mmu:12266,mmu05322
ENSMUSG00000039620,mmu:319582,
ENSMUSG00000030004,mmu:68396,mmu00480
ENSMUSG00000030004,mmu:68396,mmu01100
ENSMUSG00000078853,mmu:16145,mmu05145
ENSMUSG00000022437,mmu:68653,mmu04137
ENSMUSG00000040562,mmu:14863,mmu00480
ENSMUSG00000040562,mmu:14863,mmu00980
ENSMUSG00000040562,mmu:14863,mmu00982
ENSMUSG00000040562,mmu:14863,mmu00983
ENSMUSG00000040562,mmu:14863,mmu01100
ENSMUSG00000040562,mmu:14863,mmu01524
ENSMUSG00000040562,mmu:14863,mmu05200
ENSMUSG00000040562,mmu:14863,mmu05204
ENSMUSG00000040562,mmu:14863,mmu05207
ENSMUSG00000040562,mmu:14863,mmu05208
ENSMUSG00000040562,mmu:14863,mmu05225
ENSMUSG00000040562,mmu:14863,mmu05418
ENSMUSG00000027239,mmu:17242,
ENSMUSG00000027959,mmu:72776,
ENSMUSG00000024301,mmu:16580,mmu04814
ENSMUSG00000055430,mmu:58243,
ENSMUSG00000015880,mmu:54392,
ENSMUSG00000050714,mmu:320633,
ENSMUSG00000074818,mmu:100503041,
ENSMUSG00000058135,mmu:14862,mmu00480
ENSMUSG00000058135,mmu:14862,mmu00980
ENSMUSG00000058135,mmu:14862,mmu00982
ENSMUSG00000058135,mmu:14862,mmu00983
ENSMUSG00000058135,mmu:14862,mmu01100
ENSMUSG00000058135,mmu:14862,mmu01524
ENSMUSG00000058135,mmu:14862,mmu05200
ENSMUSG00000058135,mmu:14862,mmu05204
ENSMUSG00000058135,mmu:14862,mmu05207
ENSMUSG00000058135,mmu:14862,mmu05208
ENSMUSG00000058135,mmu:14862,mmu05225
ENSMUSG00000058135,mmu:14862,mmu05418
ENSMUSG00000018581,mmu:13411,mmu04814
ENSMUSG00000018581,mmu:13411,mmu05014
ENSMUSG00000018581,mmu:13411,mmu05016
ENSMUSG00000018581,mmu:13411,mmu05022
ENSMUSG00000036430,mmu:72726,
ENSMUSG00000037509,mmu:226970,mmu04810
ENSMUSG00000015090,mmu:19215,mmu00590
ENSMUSG00000015090,mmu:19215,mmu01100
ENSMUSG00000056458,mmu:26448,
ENSMUSG00000041241,mmu:68350,mmu04137
ENSMUSG00000071708,mmu:20603,mmu00270
ENSMUSG00000071708,mmu:20603,mmu00330
ENSMUSG00000071708,mmu:20603,mmu00480
ENSMUSG00000071708,mmu:20603,mmu01100
ENSMUSG00000027244,mmu:51897,mmu04136
ENSMUSG00000027244,mmu:51897,mmu04140
